Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2016-0001,1,2016-01-01,2016,Enero,1,Viernes,Verano,04:00:00,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,True,Comuna 8,Villa Riachuelo,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,19,19-25
2016-0002,1,2016-01-02,2016,Enero,2,Sábado,Verano,01:15:00,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,70,61+
2016-0003,1,2016-01-03,2016,Enero,3,Domingo,Verano,07:00:00,7,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,False,Comuna 1,Constitucion,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,30,26-40
2016-0004,1,2016-01-10,2016,Enero,10,Domingo,Verano,00:00:00,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,True,Comuna 8,Villa Lugano,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,18,19-25
2016-0005,1,2016-01-21,2016,Enero,21,Jueves,Verano,05:20:00,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,True,Comuna 1,Constitucion,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,26-40
2016-0008,1,2016-01-24,2016,Enero,24,Domingo,Verano,18:30:00,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,True,Comuna 8,Villa Soldati,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,26-40
2016-0009,1,2016-01-24,2016,Enero,24,Domingo,Verano,19:10:00,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,True,Comuna 11,Villa Devoto,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29,26-40
2016-0010,1,2016-01-29,2016,Enero,29,Viernes,Verano,15:20:00,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,18,19-25
2016-0012,1,2016-02-08,2016,Febrero,8,Lunes,Verano,01:20:00,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,True,Comuna 1,Monserrat,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,22,19-25
2016-0013,1,2016-02-10,2016,Febrero,10,Miércoles,Verano,11:30:00,11,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,False,Comuna 1,Constitucion,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,16,0-18
2016-0015,1,2016-02-14,2016,Febrero,14,Domingo,Verano,05:14:00,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",True,Comuna 15,Villa Crespo,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,16,0-18
2016-0016,1,2016-02-14,2016,Febrero,14,Domingo,Verano,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,True,Comuna 4,Barracas,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,19,19-25
2016-0017,1,2016-02-15,2016,Febrero,15,Lunes,Verano,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO",True,Comuna 8,Villa Soldati,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,59,41-60
2016-0019,1,2016-02-17,2016,Febrero,17,Miércoles,Verano,09:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO",True,Comuna 9,Mataderos,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,65,61+
2016-0020,1,2016-02-17,2016,Febrero,17,Miércoles,Verano,16:00:00,16,SUIPACHA 156,CALLE,SUIPACHA,False,Comuna 1,San Nicolas,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,59,41-60
2016-0021,1,2016-02-17,2016,Febrero,17,Miércoles,Verano,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,True,Comuna 7,Flores,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,34,26-40
2016-0022,1,2016-02-21,2016,Febrero,21,Domingo,Verano,06:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,True,Comuna 1,Monserrat,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41,41-60
2016-0025,1,2016-02-28,2016,Febrero,28,Domingo,Verano,04:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,26-40
2016-0026,1,2016-02-28,2016,Febrero,28,Domingo,Verano,07:30:00,7,HOLMBERG Y VEDIA,CALLE,HOLMBERG,True,Comuna 12,Saavedra,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,26-40
2016-0027,1,2016-02-28,2016,Febrero,28,Domingo,Verano,09:35:00,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,True,Comuna 7,Parque Chacabuco,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,26-40
2016-0028,1,2016-03-02,2016,Marzo,2,Miércoles,Otoño,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,True,Comuna 1,San Nicolas,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,50,41-60
2016-0029,1,2016-03-04,2016,Marzo,4,Viernes,Otoño,17:30:00,17,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,True,Comuna 12,Nuñez,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38,26-40
2016-0031,1,2016-03-08,2016,Marzo,8,Martes,Otoño,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 8,Villa Riachuelo,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,19-25
2016-0034,1,2016-03-12,2016,Marzo,12,Sábado,Otoño,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",True,Comuna 4,Nueva Pompeya,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,52,41-60
2016-0035,1,2016-03-13,2016,Marzo,13,Domingo,Otoño,06:00:00,6,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,True,Comuna 1,San Nicolas,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34,26-40
