Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2016-0001,2016,Enero,1,Viernes,4,1
2016-0002,2016,Enero,2,Sábado,1,1
2016-0003,2016,Enero,3,Domingo,7,1
2016-0004,2016,Enero,10,Domingo,0,1
2016-0005,2016,Enero,21,Jueves,5,1
2016-0008,2016,Enero,24,Domingo,18,1
2016-0009,2016,Enero,24,Domingo,19,1
2016-0010,2016,Enero,29,Viernes,15,1
2016-0012,2016,Febrero,8,Lunes,1,1
2016-0013,2016,Febrero,10,Miércoles,11,1
2016-0015,2016,Febrero,14,Domingo,5,1
2016-0016,2016,Febrero,14,Domingo,22,1
2016-0017,2016,Febrero,15,Lunes,16,1
2016-0019,2016,Febrero,17,Miércoles,9,1
2016-0020,2016,Febrero,17,Miércoles,16,1
2016-0021,2016,Febrero,17,Miércoles,23,1
2016-0022,2016,Febrero,21,Domingo,6,1
2016-0025,2016,Febrero,28,Domingo,4,1
2016-0026,2016,Febrero,28,Domingo,7,1
2016-0027,2016,Febrero,28,Domingo,9,1
2016-0028,2016,Marzo,2,Miércoles,10,2
2016-0029,2016,Marzo,4,Viernes,17,2
2016-0031,2016,Marzo,8,Martes,12,2
2016-0034,2016,Marzo,12,Sábado,12,2
2016-0035,2016,Marzo,13,Domingo,6,2
2016-0036,2016,Marzo,14,Lunes,0,2
2016-0037,2016,Marzo,19,Sábado,11,2
2016-0038,2016,Marzo,21,Lunes,8,2
2016-0039,2016,Marzo,23,Miércoles,1,2
2016-0041,2016,Marzo,29,Martes,11,2
2016-0041,2016,Marzo,29,Martes,11,2
2016-0043,2016,Marzo,30,Miércoles,18,2
2016-0044,2016,Marzo,31,Jueves,19,2
2016-0045,2016,Abril,11,Lunes,10,2
2016-0047,2016,Abril,15,Viernes,5,2
2016-0048,2016,Abril,15,Viernes,17,2
2016-0049,2016,Abril,17,Domingo,0,2
2016-0050,2016,Abril,19,Martes,9,2
2016-0051,2016,Abril,20,Miércoles,4,2
2016-0052,2016,Abril,20,Miércoles,20,2
2016-0053,2016,Abril,22,Viernes,9,2
2016-0054,2016,Abril,23,Sábado,21,2
2016-0055,2016,Abril,25,Lunes,20,2
2016-0056,2016,Abril,26,Martes,4,2
2016-0058,2016,Mayo,4,Miércoles,14,2
2016-0059,2016,Mayo,8,Domingo,16,2
2016-0064,2016,Mayo,14,Sábado,18,2
2016-0065,2016,Mayo,20,Viernes,14,2
2016-0067,2016,Mayo,21,Sábado,17,2
2016-0068,2016,Mayo,22,Domingo,22,2
2016-0069,2016,Mayo,23,Lunes,3,2
2016-0073,2016,Junio,11,Sábado,15,3
2016-0074,2016,Junio,12,Domingo,6,3
2016-0075,2016,Junio,12,Domingo,23,3
2016-0076,2016,Junio,13,Lunes,16,3
2016-0077,2016,Junio,13,Lunes,21,3
2016-0078,2016,Junio,13,Lunes,23,3
2016-0079,2016,Junio,16,Jueves,17,3
2016-0080,2016,Junio,18,Sábado,6,3
2016-0081,2016,Junio,22,Miércoles,7,3
2016-0082,2016,Junio,27,Lunes,18,3
2016-0083,2016,Junio,28,Martes,20,3
2016-0084,2016,Junio,29,Miércoles,22,3
2016-0085,2016,Junio,29,Miércoles,22,3
2016-0086,2016,Junio,30,Jueves,16,3
2016-0087,2016,Julio,3,Sábado,0,3
2016-0088,2016,Julio,11,Lunes,15,3
2016-0089,2016,Julio,14,Jueves,6,3
2016-0090,2016,Julio,14,Jueves,22,3
2016-0092,2016,Julio,15,Viernes,11,3
2016-0093,2016,Julio,17,Domingo,3,3
2016-0095,2016,Julio,23,Sábado,6,3
2016-0096,2016,Julio,25,Lunes,7,3
2016-0097,2016,Julio,26,Martes,18,3
2016-0098,2016,Julio,27,Miércoles,16,3
2016-0099,2016,Julio,29,Viernes,16,3
2016-0100,2016,Agosto,3,Miércoles,23,3
2016-0101,2016,Agosto,7,Domingo,19,3
2016-0102,2016,Agosto,10,Miércoles,23,3
