Hechos_Id,Número De Victimas,Fecha,Hora,Lugar Del Hecho,Cruce_Id,Tipo_Calle_Id,Comuna_Id,Participantes_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Rango_Etario_Id,Edad
2016-0001,1,2016-01-01,04:00:00,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,1,1,8,1,1,1,1,1,2,19
2016-0002,1,2016-01-02,01:15:00,AV GRAL PAZ  Y AV DE LOS CORRALES,1,2,0,2,2,2,1,1,5,70
2016-0003,1,2016-01-03,07:00:00,AV ENTRE RIOS 2034,2,1,1,1,1,1,1,1,3,30
2016-0004,1,2016-01-10,00:00:00,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,1,1,8,3,1,0,1,1,2,18
2016-0005,1,2016-01-21,05:20:00,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,1,1,1,4,1,2,1,1,3,29
2016-0008,1,2016-01-24,18:30:00,AV 27 DE FEBRERO Y AV ESCALADA,1,1,8,5,1,4,1,1,3,30
2016-0009,1,2016-01-24,19:10:00,NOGOYA Y JOAQUIN V. GONZALES,1,3,11,1,1,1,2,1,3,29
2016-0010,1,2016-01-29,15:20:00,AV GENERAL PAZ Y AV DE LOS CORRALES,1,2,0,1,1,1,1,1,2,18
2016-0012,1,2016-02-08,01:20:00,AV BELGRANO Y BERNARDO DE IRIGOYEN,1,1,1,6,1,5,1,1,2,22
2016-0013,1,2016-02-10,11:30:00,AV ENTRE RIOS 1366,2,1,1,7,3,1,3,1,1,16
2016-0015,1,2016-02-14,05:14:00,AV SCALABRINI ORTIZ Y VERA,1,1,15,7,3,1,3,2,1,16
2016-0016,1,2016-02-14,22:00:00,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,1,1,4,1,1,1,2,2,2,19
2016-0017,1,2016-02-15,16:54:00,MARIANO ACOSTA Y ANA MARIA JANER,1,1,8,8,3,6,3,1,4,59
2016-0019,1,2016-02-17,09:30:00,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,1,3,9,9,3,2,3,2,5,65
2016-0020,1,2016-02-17,16:00:00,SUIPACHA 156,2,3,1,7,3,1,3,1,4,59
2016-0021,1,2016-02-17,23:35:00,AV DIRECTORIO Y CURAPALIGUE,1,1,7,10,2,1,1,1,3,34
2016-0022,1,2016-02-21,06:00:00,AV 9 DE JULIO Y ADOLFO ALSINA,1,1,1,1,1,1,2,1,4,41
2016-0025,1,2016-02-28,04:50:00,AV GRAL PAZ Y AV 27 DE FEBRERO,1,2,0,10,2,1,2,1,3,34
2016-0026,1,2016-02-28,07:30:00,HOLMBERG Y VEDIA,1,3,12,11,2,4,1,1,3,30
2016-0027,1,2016-02-28,09:35:00,CURAPALIGUE Y AVELINO DIAZ,1,1,7,10,2,1,2,1,3,34
2016-0028,1,2016-03-02,10:00:00,VIAMONTE Y AV 9 DE JULIO,1,1,1,12,3,5,3,1,4,50
2016-0029,1,2016-03-04,17:30:00,AV CABILDO Y DEHEZA,1,1,12,9,3,2,3,1,3,38
2016-0031,1,2016-03-08,12:30:00,AV GRAL PAZ Y AV CNEL ROCA,1,2,8,4,1,2,1,1,2,21
2016-0034,1,2016-03-12,12:30:00,AV AMANCIO ALCORTA Y BONAVENA,1,1,4,9,3,2,3,1,4,52
2016-0035,1,2016-03-13,06:00:00,AV CORRIENTES Y AV CALLAO,1,1,1,4,1,2,1,1,3,34
