Hechos_Id,Pos X,Pos Y,Calle,Barrio_Id
2016-0001,-58.47533969,-34.68757022,PIEDRA BUENA AV.,8-1
2016-0002,-58.50877521,-34.66977709,"PAZ, GRAL. AV.",0-1
2016-0003,-58.39040293,-34.63189362,ENTRE RIOS AV.,1-1
2016-0004,-58.46503904,-34.68092974,LARRAZABAL AV.,8-2
2016-0005,-58.38718297,-34.6224663,SAN JUAN AV.,1-1
2016-0008,-58.44451316,-34.68475866,27 DE FEBRERO AV.,8-3
2016-0009,-58.50095869,-34.6082544,NOGOYA,11-1
2016-0010,-58.50877521,-34.66977709,"PAZ, GRAL. AV.",0-1
2016-0012,-58.38048577,-34.61303893,BELGRANO AV.,1-2
2016-0013,-58.39114932,-34.62477387,ENTRE RIOS AV.,1-1
2016-0015,-58.4376002,-34.59912758,"SCALABRINI ORTIZ, RAUL AV.",15-1
2016-0016,-58.36882665,-34.64291993,REGIMIENTO DE PATRICIOS AV.,4-1
2016-0017,-58.44989671,-34.65970435,"ACOSTA, MARIANO",8-3
2016-0019,-58.50990884,-34.65468721,"DE LA TORRE, LISANDRO",9-1
2016-0020,-58.37952223,-34.60653282,SUIPACHA,1-3
2016-0021,-58.45157703,-34.63063795,DIRECTORIO AV.,7-1
2016-0022,-58.38144696,-34.61079875,9 DE JULIO AV.,1-2
2016-0025,-58.46244952,-34.70524971,"PAZ, GRAL. AV.",0-1
2016-0026,-58.49216191,-34.54738649,HOLMBERG,12-1
2016-0027,-58.44497874,-34.63852623,CURAPALIGUE AV.,7-2
2016-0028,-58.38199706,-34.60028648,VIAMONTE,1-3
2016-0029,-58.47378664,-34.54153077,CABILDO AV.,13-1
2016-0031,-58.47064556,-34.69843756,"PAZ, GRAL. AV.",8-1
2016-0034,-58.40623949,-34.65076549,"ALCORTA, AMANCIO AV.",4-2
2016-0035,-58.39228965,-34.60443527,CORRIENTES AV.,1-3
2016-0036,-58.37813396,-34.63668504,HERRERA,4-1
2016-0037,-58.46275892,-34.64358293,LAFUENTE AV.,7-1
2016-0038,-58.49683458,-34.67892743,"PAZ, GRAL. AV.",0-1
2016-0039,-58.40603217,-34.6088396,"MITRE, BARTOLOME",3-1
2016-0041,-58.4607655,-34.63350444,DIRECTORIO AV.,7-1
2016-0041,-58.4607655,-34.63350444,DIRECTORIO AV.,7-1
