Hechos_Id,Rol,Sexo,Edad,Rango Etario
2016-0001,CONDUCTOR,MASCULINO,19,19-25
2016-0002,CONDUCTOR,MASCULINO,70,61+
2016-0003,CONDUCTOR,MASCULINO,30,26-40
2016-0004,CONDUCTOR,MASCULINO,18,19-25
2016-0005,CONDUCTOR,MASCULINO,29,26-40
2016-0008,CONDUCTOR,MASCULINO,30,26-40
2016-0009,PASAJERO_ACOMPAÑANTE,MASCULINO,29,26-40
2016-0010,CONDUCTOR,MASCULINO,18,19-25
2016-0012,CONDUCTOR,MASCULINO,22,19-25
2016-0013,PEATON,MASCULINO,16,0-18
2016-0015,PEATON,FEMENINO,16,0-18
2016-0016,PASAJERO_ACOMPAÑANTE,FEMENINO,19,19-25
2016-0017,PEATON,MASCULINO,59,41-60
2016-0019,PEATON,FEMENINO,65,61+
2016-0020,PEATON,MASCULINO,59,41-60
2016-0021,CONDUCTOR,MASCULINO,34,26-40
2016-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,41,41-60
2016-0025,PASAJERO_ACOMPAÑANTE,MASCULINO,34,26-40
2016-0026,CONDUCTOR,MASCULINO,30,26-40
2016-0027,PASAJERO_ACOMPAÑANTE,MASCULINO,34,26-40
2016-0028,PEATON,MASCULINO,50,41-60
2016-0029,PEATON,MASCULINO,38,26-40
2016-0031,CONDUCTOR,MASCULINO,21,19-25
2016-0034,PEATON,MASCULINO,52,41-60
2016-0035,CONDUCTOR,MASCULINO,34,26-40
2016-0036,PASAJERO_ACOMPAÑANTE,MASCULINO,36,26-40
2016-0037,CONDUCTOR,MASCULINO,20,19-25
2016-0038,PEATON,MASCULINO,29,26-40
2016-0039,CONDUCTOR,MASCULINO,20,19-25
2016-0041,CONDUCTOR,MASCULINO,54,41-60
2016-0041,PASAJERO_ACOMPAÑANTE,MASCULINO,53,41-60
2016-0043,PEATON,FEMENINO,56,41-60
2016-0044,CONDUCTOR,MASCULINO,24,19-25
2016-0045,CONDUCTOR,MASCULINO,16,0-18
2016-0047,PEATON,MASCULINO,41,41-60
2016-0048,PEATON,FEMENINO,73,61+
2016-0049,CONDUCTOR,MASCULINO,62,61+
2016-0050,PEATON,MASCULINO,78,61+
2016-0051,CONDUCTOR,MASCULINO,36,26-40
2016-0052,CONDUCTOR,MASCULINO,22,19-25
2016-0053,PEATON,MASCULINO,38,26-40
2016-0054,CONDUCTOR,MASCULINO,30,26-40
2016-0055,PEATON,MASCULINO,79,61+
2016-0056,CONDUCTOR,MASCULINO,26,26-40
2016-0058,PEATON,FEMENINO,57,41-60
2016-0059,PEATON,MASCULINO,37,26-40
2016-0064,PEATON,MASCULINO,20,19-25
2016-0065,PEATON,MASCULINO,20,19-25
2016-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,30,26-40
2016-0068,CONDUCTOR,MASCULINO,58,41-60
2016-0069,CONDUCTOR,MASCULINO,30,26-40
2016-0073,CONDUCTOR,MASCULINO,23,19-25
2016-0074,CONDUCTOR,MASCULINO,60,61+
2016-0075,PEATON,MASCULINO,42,41-60
2016-0076,PEATON,FEMENINO,53,41-60
2016-0077,PEATON,FEMENINO,76,61+
2016-0078,CONDUCTOR,MASCULINO,30,26-40
2016-0079,CONDUCTOR,FEMENINO,51,41-60
2016-0080,CONDUCTOR,MASCULINO,60,61+
2016-0081,CONDUCTOR,MASCULINO,40,41-60
2016-0082,PEATON,MASCULINO,87,61+
2016-0083,PEATON,FEMENINO,76,61+
2016-0084,PEATON,MASCULINO,57,41-60
2016-0085,CONDUCTOR,MASCULINO,76,61+
2016-0086,PEATON,MASCULINO,75,61+
2016-0087,CONDUCTOR,MASCULINO,23,19-25
2016-0088,PEATON,FEMENINO,70,61+
2016-0089,PEATON,MASCULINO,35,26-40
2016-0090,PEATON,MASCULINO,60,61+
2016-0092,CONDUCTOR,MASCULINO,24,19-25
2016-0093,CONDUCTOR,MASCULINO,35,26-40
